"exposure_id","module_id","exposure_trait","mediator_id","mediator_name","a_beta","a_se","b_beta","b_se","indirect_beta","indirect_se","ci_lower","ci_upper","p","p_for_fdr","q","fdr_alpha","product_fdr_significant","x_to_m_fdr_significant","m_to_y_fdr_significant","component_fdr_gate","overlap_class","variance_status","colocalization_status","analysis_status","evidence_label","family","family_denominator"
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","cytokine_CTACK","CTACK",0.0042274635711893,0.091901381982376,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","cytokine_CTACK","CTACK",,,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00136","M00136","GABA biosynthesis, prokaryotes, putrescine to GABA","cytokine_CTACK","CTACK",-0.0878368420906323,0.119020111233919,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00530","M00530","Dissimilatory nitrate reduction, nitrate to ammonia","cytokine_CTACK","CTACK",-0.0281670581810306,0.124083956744628,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00569","M00569","Catechol meta-cleavage, catechol to acetyl-CoA / 4-methylcatechol to propanoyl-CoA","cytokine_CTACK","CTACK",0.0113038086769546,0.080168855864926,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","cytokine_beta_NGF","beta-nerve growth factor",0.0454292162628103,0.0822993048239317,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","cytokine_beta_NGF","beta-nerve growth factor",0.0272787815946799,0.0963914543981624,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00136","M00136","GABA biosynthesis, prokaryotes, putrescine to GABA","cytokine_beta_NGF","beta-nerve growth factor",-0.127391812382857,0.107051943178872,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00530","M00530","Dissimilatory nitrate reduction, nitrate to ammonia","cytokine_beta_NGF","beta-nerve growth factor",-0.0553115134817522,0.115232319753651,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00569","M00569","Catechol meta-cleavage, catechol to acetyl-CoA / 4-methylcatechol to propanoyl-CoA","cytokine_beta_NGF","beta-nerve growth factor",0.00561476887935979,0.0719842164020488,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","cytokine_CCL11","CCL11",0.00309541767529173,0.0859838243136591,1.6031933882324,0.763767177392246,0.00496255315084541,0.137868970602004,-0.265260629229082,0.275185735530773,0.971286579714424,0.971286579714424,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","cytokine_CCL11","CCL11",,,1.6031933882324,0.763767177392246,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00136","M00136","GABA biosynthesis, prokaryotes, putrescine to GABA","cytokine_CCL11","CCL11",-0.18342113353588,0.111842176649306,1.6031933882324,0.763767177392246,-0.294059548546815,0.227542640278918,-0.740043123493494,0.151924026399864,0.196243848034979,0.196243848034979,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00530","M00530","Dissimilatory nitrate reduction, nitrate to ammonia","cytokine_CCL11","CCL11",0.0308306559718678,0.119963641913883,1.6031933882324,0.763767177392246,0.0494275038089662,0.193761079643367,-0.330344212292032,0.429199219909965,0.798649641377669,0.798649641377669,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00569","M00569","Catechol meta-cleavage, catechol to acetyl-CoA / 4-methylcatechol to propanoyl-CoA","cytokine_CCL11","CCL11",-0.0180492805733399,0.0742768737808271,1.6031933882324,0.763767177392246,-0.02893648727753,0.119875480938661,-0.263892429917306,0.206019455362246,0.809254511439564,0.809254511439564,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","cytokine_FGF2","Fibroblast growth factor 2",0.00554048957458432,0.08657014960288,-0.168098955609785,0.243457027305496,-0.000931350511054526,0.0146147320991037,-0.0295762254252978,0.0277135244031887,0.949187742923653,0.949187742923653,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","cytokine_FGF2","Fibroblast growth factor 2",,,-0.168098955609785,0.243457027305496,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00136","M00136","GABA biosynthesis, prokaryotes, putrescine to GABA","cytokine_FGF2","Fibroblast growth factor 2",0.0656503546539573,0.112607812442465,-0.168098955609785,0.243457027305496,-0.0110357560527422,0.0247744685837785,-0.0595937144769481,0.0375222023714637,0.65599548904644,0.65599548904644,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00530","M00530","Dissimilatory nitrate reduction, nitrate to ammonia","cytokine_FGF2","Fibroblast growth factor 2",0.153873071025791,0.120779490601091,-0.168098955609785,0.243457027305496,-0.0258659025359057,0.0426095120739142,-0.109380546200778,0.0576487411289662,0.543820873095829,0.543820873095829,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00569","M00569","Catechol meta-cleavage, catechol to acetyl-CoA / 4-methylcatechol to propanoyl-CoA","cytokine_FGF2","Fibroblast growth factor 2",-0.211243919484333,0.0747766086670207,-0.168098955609785,0.243457027305496,0.0355098822442339,0.0529426558816778,-0.0682577232838546,0.139277487772322,0.502396703897204,0.502396703897204,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","cytokine_CSF3","CSF3",0.0280249302129476,0.086230554501377,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","cytokine_CSF3","CSF3",,,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00136","M00136","GABA biosynthesis, prokaryotes, putrescine to GABA","cytokine_CSF3","CSF3",-0.0349959658214292,0.112166557119965,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00530","M00530","Dissimilatory nitrate reduction, nitrate to ammonia","cytokine_CSF3","CSF3",-0.0258662305279849,0.120308048967372,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00569","M00569","Catechol meta-cleavage, catechol to acetyl-CoA / 4-methylcatechol to propanoyl-CoA","cytokine_CSF3","CSF3",-0.0441725140101453,0.0744899055820324,,,,,,,,1,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","not_estimable_component_missing","insufficient","cytokine_indirect",200
"hunt_M00080","M00080","Lipopolysaccharide biosynthesis, inner core to outer core to O-antigen","cytokine_CXCL1","CXCL1",-0.0304194904185949,0.0774032835078751,0.0564620862808457,0.135761997793439,-0.00171754789263406,0.00601292806486081,-0.0135028868997613,0.0100677911144931,0.775151937522658,0.775151937522658,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
"hunt_M00091","M00091","Phosphatidylcholine biosynthesis, PE to PC","cytokine_CXCL1","CXCL1",0.0671894533946356,0.0900662914137206,0.0564620862808457,0.135761997793439,0.00379365671473078,0.0104435318323118,-0.0166756656766004,0.0242629791060619,0.716415009151632,0.716415009151632,1,0.05,FALSE,FALSE,FALSE,FALSE,"known_partial","sensitivity_delta_covariance_unavailable_due_overlap","not_triggered_component_fdr_gate_failed","estimated_sensitivity_overlap_covariance_unknown","exploratory_not_all_mediation_gates_met","cytokine_indirect",200
